epoch,train_loss,test_loss,accuracy_offloading,accuracy_resource,latency,energy,cost,forgetting_score,domain_gap
1,0.21577288210391998,0.21577288210391998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.934916306519881e-06,9.934916306519881e-06,0.9990000128746033,0.0,0.0,0.0,0.0,0.0,0.0
3,3.4984481089850306e-08,3.4984481089850306e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.1111150222120614e-08,1.1111150222120614e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.244271435358769e-08,2.244271435358769e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5.471878505858285e-09,5.471878505858285e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.949104598888198e-09,3.949104598888198e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.3382328961929488e-08,2.3382328961929488e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0236852254763562e-08,1.0236852254763562e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5.587304396925674e-09,5.587304396925674e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,7.229775889072698e-09,7.229775889072698e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6.159851295706176e-09,6.159851295706176e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8.073290480581363e-09,8.073290480581363e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0874484424050479e-08,1.0874484424050479e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8.330165890413355e-09,8.330165890413355e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5.101489453096519e-09,5.101489453096519e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5.465558672312909e-09,5.465558672312909e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.2450466435609542e-08,1.2450466435609542e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
