epoch,train_loss,test_loss,accuracy_offloading,accuracy_resource,latency,energy,cost,forgetting_score,domain_gap
39,7.70197505772785e-09,7.70197505772785e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,7.794318079845652e-09,7.794318079845652e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,7.273455171485921e-09,7.273455171485921e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,5.9540701258242734e-09,5.9540701258242734e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8.552115460247478e-09,8.552115460247478e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2.9951678470752086e-08,2.9951678470752086e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.5108918205442023e-07,1.5108918205442023e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,4.928447427943183e-09,4.928447427943183e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,9.305558990035934e-09,9.305558990035934e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1.240376157340961e-08,1.240376157340961e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8.253095984400716e-09,8.253095984400716e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,7.586844041895802e-09,7.586844041895802e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,9.430305425439656e-09,9.430305425439656e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,7.2554127150681325e-09,7.2554127150681325e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1.287108375436219e-08,1.287108375436219e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2.2143582967260045e-08,2.2143582967260045e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8.078892221874412e-09,8.078892221874412e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,8.638621373791011e-09,8.638621373791011e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,5.384768630989356e-09,5.384768630989356e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,6.047815581666782e-09,6.047815581666782e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,8.33510966913309e-08,8.33510966913309e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2.5615147336566224e-08,2.5615147336566224e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,4.056239344407686e-09,4.056239344407686e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,6.202231173091377e-09,6.202231173091377e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1.2748883726487747e-08,1.2748883726487747e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1.1178562964175853e-08,1.1178562964175853e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1.0122302107617998e-08,1.0122302107617998e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,7.322644712814963e-09,7.322644712814963e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1.632377966132026e-08,1.632377966132026e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.814361105800799e-08,1.814361105800799e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,7.832488435610685e-09,7.832488435610685e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2.5337600462194132e-08,2.5337600462194132e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2.5019101457246506e-08,2.5019101457246506e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.042561592612401e-08,1.042561592612401e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,6.354911707973088e-09,6.354911707973088e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,7.760199594031292e-09,7.760199594031292e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,8.53404369394184e-09,8.53404369394184e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2.1071686617801788e-08,2.1071686617801788e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3.814176086081034e-09,3.814176086081034e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2.1276779449408423e-08,2.1276779449408423e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,5.756018772729021e-09,5.756018772729021e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1.0009653550469011e-08,1.0009653550469011e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.1068070016051479e-08,1.1068070016051479e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,3.6516787371709825e-09,3.6516787371709825e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,3.044009133645886e-08,3.044009133645886e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,7.0071402014093565e-09,7.0071402014093565e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1.2121852854818371e-08,1.2121852854818371e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,7.413548885892851e-09,7.413548885892851e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,9.038404691352753e-09,9.038404691352753e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,9.541164303072946e-09,9.541164303072946e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1.1136769728636864e-08,1.1136769728636864e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,4.334627323743234e-09,4.334627323743234e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,7.663341961006154e-09,7.663341961006154e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,7.71420527456712e-09,7.71420527456712e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,3.88605840839773e-08,3.88605840839773e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,6.260445939432202e-09,6.260445939432202e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,4.030072275895691e-09,4.030072275895691e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2.591664483020395e-08,2.591664483020395e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,4.348400750586734e-09,4.348400750586734e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,4.9076611219334154e-08,4.9076611219334154e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,5.432699179408473e-09,5.432699179408473e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4.636343753361416e-09,4.636343753361416e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
