epoch,train_loss,test_loss,accuracy_offloading,accuracy_resource,latency,energy,cost,forgetting_score,domain_gap
1,0.9925594329833984,0.9925594329833984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001883762190118432,0.001883762190118432,0.15649999678134918,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00020186051551718265,0.00020186051551718265,0.3959999978542328,0.0,0.0,0.0,0.0,0.0,0.0
4,0.00011292946146568283,0.00011292946146568283,0.4754999876022339,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0001002687931759283,0.0001002687931759283,0.4934999942779541,0.0,0.0,0.0,0.0,0.0,0.0
6,5.11677899339702e-05,5.11677899339702e-05,0.5044999718666077,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0001238119584741071,0.0001238119584741071,0.5080000162124634,0.0,0.0,0.0,0.0,0.0,0.0
8,7.03055557096377e-05,7.03055557096377e-05,0.49799999594688416,0.0,0.0,0.0,0.0,0.0,0.0
9,0.00013971504813525826,0.00013971504813525826,0.5,0.0,0.0,0.0,0.0,0.0,0.0
10,0.00012263774988241494,0.00012263774988241494,0.5109999775886536,0.0,0.0,0.0,0.0,0.0,0.0
11,0.00010231694614049047,0.00010231694614049047,0.5099999904632568,0.0,0.0,0.0,0.0,0.0,0.0
12,8.965978486230597e-05,8.965978486230597e-05,0.49900001287460327,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0001280113501707092,0.0001280113501707092,0.5024999976158142,0.0,0.0,0.0,0.0,0.0,0.0
14,6.739042146364227e-05,6.739042146364227e-05,0.49799999594688416,0.0,0.0,0.0,0.0,0.0,0.0
15,6.450689397752285e-05,6.450689397752285e-05,0.5134999752044678,0.0,0.0,0.0,0.0,0.0,0.0
16,7.261194696184248e-05,7.261194696184248e-05,0.5145000219345093,0.0,0.0,0.0,0.0,0.0,0.0
17,7.828423986211419e-05,7.828423986211419e-05,0.5070000290870667,0.0,0.0,0.0,0.0,0.0,0.0
18,9.109260281547904e-05,9.109260281547904e-05,0.5055000185966492,0.0,0.0,0.0,0.0,0.0,0.0
19,7.926364924060181e-05,7.926364924060181e-05,0.5139999985694885,0.0,0.0,0.0,0.0,0.0,0.0
20,8.514050568919629e-05,8.514050568919629e-05,0.5049999952316284,0.0,0.0,0.0,0.0,0.0,0.0
21,8.031322795432061e-05,8.031322795432061e-05,0.5145000219345093,0.0,0.0,0.0,0.0,0.0,0.0
22,8.263601193903014e-05,8.263601193903014e-05,0.5109999775886536,0.0,0.0,0.0,0.0,0.0,0.0
23,8.981827704701573e-05,8.981827704701573e-05,0.515500009059906,0.0,0.0,0.0,0.0,0.0,0.0
24,0.000217971668462269,0.000217971668462269,0.515999972820282,0.0,0.0,0.0,0.0,0.0,0.0
25,7.03158148098737e-05,7.03158148098737e-05,0.5145000219345093,0.0,0.0,0.0,0.0,0.0,0.0
26,6.396461685653776e-05,6.396461685653776e-05,0.5115000009536743,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0001357909059152007,0.0001357909059152007,0.5170000195503235,0.0,0.0,0.0,0.0,0.0,0.0
28,7.645995356142521e-05,7.645995356142521e-05,0.515500009059906,0.0,0.0,0.0,0.0,0.0,0.0
29,8.564603194827214e-05,8.564603194827214e-05,0.5195000171661377,0.0,0.0,0.0,0.0,0.0,0.0
30,0.00015008458285592496,0.00015008458285592496,0.5174999833106995,0.0,0.0,0.0,0.0,0.0,0.0
