round,loss,accuracy,latency,energy,cost
1,1.8523840451240539,0.38,2364322.0796472346,23293343.29598161,12828832.687814426
2,1.1975693082809449,0.62,784320.6745315173,0.13774510341039345,392160.4061383102
3,3.6307786479592323,0.62,799841.4151756525,0.13774510341039342,399920.77646037785
4,2.978782695829868,0.62,791857.1894356286,0.1377451034103934,395928.66359036596
5,7.179321431219578,0.62,804265.1250171035,0.13774510341039348,402132.63138110354
6,1.1065151691436768,0.6835,1006108.5112502737,2917038.9980831402,1961573.7546667072
7,1.8171800772845745,0.6300833333333333,805739.0702446933,285662.3586752298,545700.7144599616
8,0.8596460080146789,0.7341666666666666,1550820.5410496762,9402482.998859555,5476651.769954615
9,3.5617616532742975,0.62,790665.8555311535,0.13774510341039345,395332.99663812853
10,4.492863796576858,0.62,791660.0397478555,0.13774510341039345,395830.0887464796
11,0.819299983382225,0.7768333333333334,1322937.028937676,6198545.5649978025,3760741.2969677392
12,5.0729055222868915,0.62,790749.4814572878,0.13774510341039342,395374.8096011957
13,1.765814414024353,0.5019166666666667,2181077.8859962127,19883829.576985758,11032453.731490983
14,4.187000605016947,0.62925,814337.8278744608,165681.14439770693,490009.4861360838
15,1.3106909689307213,0.7074166666666667,950848.9856661411,1841508.3149894215,1396178.6503277814
16,0.6871335482597352,0.8335833333333333,1635446.34698177,10106353.0949003,5870899.720941036
17,1.7151544788479804,0.7183333333333334,1005890.6206216097,2197325.677550732,1601608.149086171
18,1.2244757413864136,0.74175,1024022.9850248873,2540138.5821179985,1782080.7835714426
19,1.5753261855244636,0.699,931840.5975503507,1549713.1881251624,1240776.8928377565
20,0.6053763455152512,0.86925,1645633.0974401773,9931669.216868607,5788651.157154393
21,4.496228508353234,0.6265,799036.8595588367,126414.01362678639,462725.4365928115
22,0.6679223442077636,0.8395,1695655.0346102193,10950959.35512961,6323307.194869915
23,1.7147478978335857,0.7430833333333333,1055483.5093073673,2719647.6471255017,1887565.5782164345
24,5.280493167638778,0.6331666666666667,810711.5140153281,226466.31507649279,518588.9145459105
25,1.5178075015544892,0.5850833333333333,2069033.257908307,17840740.56628843,9954886.912098372
26,1.0146586412191392,0.8145833333333333,1189817.447853179,4018688.858292919,2604253.15307305
27,4.399576149359345,0.6350833333333333,811622.1590786349,253196.9823915695,532409.5707351019
28,0.6061884182691574,0.883,1627275.391848275,9669767.53430784,5648521.463078057
29,3.769043400734663,0.624,785431.2555910811,82801.83338485475,434116.544487968
30,5.989036009684205,0.6206666666666667,787342.9973867793,14418.86252894948,400880.92995786434
31,1.2938196940720081,0.68075,885933.711971993,1182208.346283279,1034071.0291276353
32,6.827250224500895,0.6204166666666666,783102.1655695094,9128.460022960882,396115.31279623514
33,5.746198969110846,0.62,774253.6270291245,0.13774510341039345,387126.88238711405
34,7.785612549111247,0.62,792313.7350854244,0.13774510341039348,396156.93641526403
35,9.361505094766617,0.62,785769.0155449827,0.1377451034103934,392884.57664504304
36,7.85517519146204,0.62,783274.1781823479,0.13774510341039348,391637.15796372556
37,1.1583697324991227,0.5779166666666666,2067459.0304000466,17937785.83806059,10002622.434230322
38,13.070362737029791,0.62,790313.973415701,0.13774510341039345,395157.0555804022
39,0.6719458991289139,0.8421666666666666,1447951.425011761,7555389.179469213,4501670.302240487
40,7.34387592330575,0.6296666666666667,805546.4879429605,192196.13238834802,498871.31016565417
41,8.237709237784147,0.622,791453.1689471933,36562.79629962521,414007.98262340925
42,7.357496610879898,0.62,776609.1975239238,0.1377451034103934,388304.6676345137
43,0.622925586104393,0.8653333333333333,1518041.56404834,8321275.905210815,4919658.734629578
44,0.7556117326021194,0.8455,1654814.0546368815,10279747.574331159,5967280.814484021
45,2.076636708974838,0.7880833333333334,1149227.2778183075,3619019.104256125,2384123.191037216
46,0.6921455532312393,0.8745,1623771.7815453704,9732175.325105304,5677973.5533253355
47,0.7593029856681823,0.8545,1669379.8908045683,10430767.153318904,6050073.522061735
48,2.455367180109024,0.5878333333333333,2068490.1399133867,17687533.22470551,9878011.68230945
49,11.669517718553543,0.6336666666666667,824735.8881140129,243937.75235203232,534336.8202330224
50,8.22426450394094,0.63625,817934.4236358238,311195.8638961864,564565.143766005
51,1.619473100155592,0.7121666666666666,978159.845664187,1862464.7208653695,1420312.2832647786
52,7.7878493791818615,0.6331666666666667,824639.1967695104,279441.75906334986,552040.4779164302
53,1.298106963634491,0.7568333333333334,1076496.0706981581,2742326.483040654,1909411.276869406
54,19.303984454236925,0.62,799341.194080606,0.13774510341039348,399670.6659128545
