round,loss,accuracy,latency,energy,cost
1,2.1589686560630796,0.46,826915.528756046,0.1447330312669416,413457.83674453845
2,1.586467730998993,0.46,742986.7188292746,0.14473303126694165,371493.4317811529
3,2.1365165638923647,0.54,2315306.6681140023,23156019.36966426,12735663.01888913
4,1.372518994808197,0.54,2315306.668114003,23156019.369664256,12735663.018889133
5,2.2885471627116205,0.46,793327.0390523743,0.14473303126694165,396663.59189270297
6,0.9615506291389465,0.6959166666666666,2080523.270662949,19215818.1078878,10648170.689275375
7,1.0115840327739716,0.6651666666666667,2125503.4827554855,20024916.17041098,11075209.826583233
8,1.161346794962883,0.5885,2242293.3269766276,22027210.96744595,12134752.147211293
9,2.234391186982393,0.4633333333333333,777704.4370095608,63279.52468576035,420491.98084766057
10,1.2272072800993918,0.5474166666666667,918441.1338117868,1830749.268759649,1374595.2012857173
11,1.8708040064573288,0.54,2315306.668114002,23156019.369664256,12735663.01888913
12,0.7651933217048645,0.8506666666666667,1421215.6534897177,8558089.075332724,4989652.364411219
13,0.9459242868423462,0.67075,1133007.5615441056,4503546.153810007,2818276.857677056
14,3.049893295764923,0.46,783454.2909298784,0.14473303126694168,391727.2178314552
15,0.613107122182846,0.9029166666666667,1753689.27840394,13619009.859883213,7686349.569143574
16,0.6811327624320984,0.8553333333333333,1838130.507911165,15090964.387436489,8464547.447673827
17,0.7446748900413513,0.8120833333333334,1364596.3242462983,7657454.443866029,4511025.384056167
18,1.7042011427879333,0.58075,2257443.5800605863,22186070.53346302,12221757.0567618
19,0.6843225142359733,0.8943333333333333,1510562.3053891943,9615187.66662379,5562874.986006494
20,0.717704499065876,0.8464166666666667,1426885.0923651115,8560309.265789356,4993597.179077235
21,0.818819464147091,0.7694166666666666,1302627.8644141923,6732319.186892916,4017473.5256535555
22,0.6402637428045272,0.8801666666666667,1801274.402094468,14481006.2096225,8141140.305858486
23,0.672699282169342,0.8629166666666667,1828413.9372223604,14922815.563958133,8375614.750590251
24,1.9742798179388046,0.55425,2295447.3415635326,22830608.881361272,12563028.111462403
25,2.40257286131382,0.5415,2312363.0718128793,23105004.97464025,12708684.023226568
26,0.5425746470689774,0.9190833333333334,1557017.9315363108,10228191.17304675,5892604.552291528
27,0.6767662099003792,0.8505833333333334,1436640.165737972,8522977.355491865,4979808.760614918
28,3.4709228736162188,0.54,2315306.6681140033,23156019.369664267,12735663.018889133
29,0.5456651666760445,0.917,1552572.6682450422,10155874.702949598,5854223.685597321
30,0.5826881724596024,0.8923333333333333,1782306.5340863247,14074790.598492108,7928548.566289219
31,0.5959927028417588,0.89125,1789079.460426259,14187350.238102905,7988214.849264584
32,0.6335473582148552,0.8825,1490106.3162912836,9288147.759511784,5389127.037901533
33,2.7406211762875317,0.47941666666666666,810630.7693027294,394518.52776110824,602574.6485319188
34,0.4998635393381119,0.9455,1693525.255728473,12479379.376642533,7086452.316185503
35,0.7407253701984883,0.8434166666666667,1417193.4247840417,8361868.068229494,4889530.746506768
36,0.5003177911043167,0.92725,1727098.5306844127,13072771.501947438,7399935.016315928
37,0.6041534543037415,0.88775,1796472.1116228355,14355881.555814771,8076176.833718805
38,0.6053173327445984,0.8974166666666666,1782995.5057910744,13996556.334163236,7889775.919977156
39,1.762692487835884,0.63775,2165158.191828165,20662112.12845834,11413635.160143252
40,0.6240834569931031,0.8690833333333333,1821977.7332867286,14696368.085585421,8259172.90943608
41,0.6298311907052994,0.8664166666666666,1825815.4384198817,14764745.984213494,8295280.711316684
42,0.7133986657857895,0.8341666666666666,1872157.6387217944,15561774.168066148,8716965.903393969
43,0.7396081227064133,0.8289166666666666,1877549.840456553,15764125.652299514,8820837.746378029
44,4.210926838815213,0.46116666666666667,790909.31889298,30783.85817169723,410846.58853233856
45,0.5098499643802643,0.9368333333333333,1713279.0841174184,12800077.4023423,7256678.2432298595
46,0.6819794584810733,0.8619166666666667,1452184.8540885637,8750372.472058298,5101278.663073432
47,0.5362848341464996,0.9266666666666666,1734301.8836831038,13176991.575069116,7455646.729376111
48,0.5305116975307465,0.92775,1735981.1606216545,13148911.098409388,7442446.129515523
49,0.6326617807149887,0.8750833333333333,1818356.3993296581,14606670.488478623,8212513.443904136
50,1.7214021158218384,0.6625833333333333,2125547.511482742,20076037.579247877,11100792.545365311
51,0.6307224589586258,0.87575,1814459.9294657498,14530176.839088922,8172318.3842773335
52,0.658177148103714,0.8774166666666666,1481166.4907595017,9163036.986780053,5322101.738769774
53,0.6616446025669575,0.8665833333333334,1465207.150407444,8985956.187512895,5225581.66896017
54,0.7948484690487385,0.8411666666666666,1417131.3174705137,8357526.976369614,4887329.146920063
55,1.3434114068746568,0.7186666666666667,2033751.2571366522,18566259.355097685,10300005.306117168
56,0.5333556967973709,0.913,1749537.4098013677,13488618.984889833,7619078.197345598
57,0.5978766721487045,0.8864166666666666,1791890.5780806541,14203794.329797605,7997842.4539391305
58,1.8010474610328675,0.6623333333333333,2129049.9770258097,20098641.44771564,11113845.712370723
59,2.149371791481972,0.6166666666666667,2195738.439866005,21252937.148996398,11724337.794431206
60,0.6813725066184998,0.845,1852968.9260457943,15359321.170397189,8606145.048221493
61,0.6290246468782424,0.8746666666666667,1471092.1408511242,9072182.838081503,5271637.489466315
62,1.5995985168218612,0.665,2123925.782512347,20042040.38303724,11082983.082774797
63,2.0722256910800936,0.5553333333333333,2292313.5798668903,22799545.781158082,12545929.680512482
64,2.21513532102108,0.545,2308827.1362558403,23057972.86497291,12683400.00061438
65,0.9857955354452134,0.7201666666666666,2040383.2475745084,18664104.32597118,10352243.786772842
66,1.3309483336657286,0.5576666666666666,919326.7764989564,2184560.1116522304,1551943.4440755937
67,0.46584076642990113,0.94525,1695520.0319284534,12414688.50550903,7055104.268718745
68,0.6068969982862472,0.8784166666666666,1805844.1625173918,14552736.865095781,8179290.513806586
69,0.6609307499229908,0.8543333333333333,1437879.6422644227,8704778.76148701,5071329.201875717
70,4.741692880019546,0.46,782237.8798342326,0.14473303126694162,391119.01228363195
71,1.0827314150333405,0.75,1985116.0362117742,17784205.03089868,9884660.533555223
72,0.5176039719581604,0.925,1741971.6190266958,13298785.018653227,7520378.3188399635
73,0.663906988054514,0.8655,1460656.9550298236,8839814.178790793,5150235.566910308
74,0.494237916469574,0.9255833333333333,1738974.4125434319,13187780.541057775,7463377.476800603
75,1.7614512985944748,0.6378333333333334,2167962.278919198,20776399.22413973,11472180.751529464
76,0.6046995681524276,0.87375,1814278.0368308483,14617330.739109198,8215804.38797002
77,0.602915843129158,0.8798333333333334,1490175.312253825,9281378.462617595,5385776.88743571
78,2.58144198641181,0.4875,813366.8718392217,592456.0318135237,702911.4518263726
79,0.4886918091773987,0.9325,1718649.7725472692,12910857.928399121,7314753.850473194
80,0.5671110302209854,0.9139166666666667,1750294.0757275575,13412942.764948308,7581618.420337934
81,0.6263894897699356,0.86575,1824039.7008953984,14846283.756263547,8335161.728579472
82,0.6251637794077396,0.8766666666666667,1485628.4602718696,9271925.393735303,5378776.927003587
83,0.5197366058826447,0.9295833333333333,1722024.2185899892,12914280.64029395,7318152.429441971
84,1.829189190864563,0.6291666666666667,2176407.6946917577,20918961.769187205,11547684.731939482
85,0.5958506362140179,0.882,1489843.7851170003,9347212.032722987,5418527.908919995
86,0.7387865427136421,0.8310833333333333,1400631.719783151,8107182.009511819,4753906.864647484
87,2.660192359685898,0.482,805648.3055658384,505295.32977552095,655471.8176706799
88,1.1018014764785766,0.7429166666666667,2003273.1404862907,18057523.797700003,10030398.469093148
89,1.6803830409049987,0.6835833333333333,2093807.0171555053,19504958.38765974,10799382.70240762
90,0.5168737682700157,0.9203333333333333,1562650.206524821,10312828.977308398,5937739.59191661
91,0.5292418318986892,0.9248333333333333,1738475.2579300576,13199832.093811586,7469153.675870826
92,0.5814737665653229,0.8965833333333333,1782105.1136553914,14086456.492578847,7934280.80311712
93,0.6125971448421478,0.8821666666666667,1803031.4243117834,14305559.895127844,8054295.659719811
94,0.6380229824781418,0.8671666666666666,1824400.9981664638,14744061.788381787,8284231.39327412
95,4.104936938881874,0.54025,2314823.8977699145,23151625.552833483,12733224.725301702
96,0.4455752694606781,0.9441666666666667,1632361.4886712907,11444973.585464543,6538667.537067917
97,0.6217419970035553,0.8744166666666666,1815622.4926307977,14574203.658824204,8194913.075727502
98,1.9518828916549682,0.6279166666666667,2182623.2454290255,20936169.101167675,11559396.17329835
99,0.8002304708957673,0.7974166666666667,1918739.327399245,16534056.818350164,9226398.072874708
100,0.5343287518620491,0.9075833333333333,1552633.1629712875,10286982.28638468,5919807.724677985
